City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Canto Do Buriti,BR,89.64,overcast clouds,-8.11,-42.9444,Novo Hotel
388,Grenville,GD,82.45,light rain,12.1167,-61.6167,Valley Breeze Guest House
391,Sumenep,ID,78.44,overcast clouds,-7.0167,113.8667,Family Nur Hotel
393,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
399,Nicoya,CR,84.34,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
401,Garzon,CO,79.39,moderate rain,2.1959,-75.6278,Hotel Encanto Real
403,Sao Felix Do Xingu,BR,82.22,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
408,Tomatlan,MX,87.57,clear sky,19.9333,-105.25,El Salvial
411,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
412,Dakar,SN,85.08,clear sky,14.6937,-17.4441,Novotel Dakar
414,Abu Zabad,SD,82.09,scattered clouds,12.35,29.25,حامد محمد نور
416,Touros,BR,79.68,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
418,Gorontalo,ID,75.99,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
419,Valdosta,US,77.7,overcast clouds,30.8327,-83.2785,Courtyard by Marriott Valdosta
420,Bilma,NE,76.03,clear sky,18.6853,12.9164,Expeditions Ténére voyages
423,Bocas Del Toro,PA,82.94,clear sky,9.3333,-82.25,Hotel Bocas del Toro
424,Diapaga,BF,80.02,clear sky,12.0708,1.7889,Hôtel GACILIE
432,Lamu,KE,77.22,few clouds,-2.2717,40.902,Lamu House
438,Jiwani,PK,79.84,overcast clouds,25.05,61.7417,Hooth Market
441,Koumac,NC,77.7,scattered clouds,-20.5667,164.2833,Le Monitel
442,Kupang,ID,78.48,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
448,Esmeraldas,BR,84.31,light rain,-19.7625,-44.3139,Forasteiro Pousada
455,Quarai,BR,84.04,clear sky,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
458,Guaruja,BR,78.84,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
462,Petatlan,MX,89.4,broken clouds,17.5167,-101.2667,Hotel California Petatlán
471,Catuday,PH,80.69,moderate rain,16.2923,119.8062,Benjie's Kubo & Cottages
476,San Rafael,AR,86.07,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
478,Aripuana,BR,79.72,overcast clouds,-9.1667,-60.6333,
479,Sibolga,ID,75.49,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
481,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
483,Guerrero Negro,MX,78.08,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
485,Basco,PH,79.93,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
486,Ixtapa,MX,86.23,clear sky,20.7,-105.2,hotel la terminal
489,Chuy,UY,77.52,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
494,Beba,CU,84.47,scattered clouds,22.4437,-79.7253,Hostal Cubaustria
495,Selma,US,75.34,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
496,Borba,BR,89.06,heavy intensity rain,-4.3878,-59.5939,Hotel da Amazônia
498,Parrita,CR,82.36,few clouds,9.5201,-84.3225,Beso del Viento
502,Dwarka,IN,80.42,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
505,Lorengau,PG,80.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
511,Kibala,TD,79.38,overcast clouds,9.1104,18.3463,Prasant Hotels
521,Kalamare,BW,75.63,few clouds,-22.9337,26.5703,
522,Sinnamary,GF,83.17,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
523,Harper,LR,77.68,light rain,4.375,-7.7169,Screensaver
528,Aiquile,BO,80.11,few clouds,-18.2041,-65.1807,Hotel Santa Ana
531,Kanniyakumari,IN,79.57,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
542,Dingle,PH,75.85,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
543,Russell,US,76.15,overcast clouds,32.3502,-85.1999,Macs
544,Port-Gentil,GA,75.16,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
546,Road Town,VG,86.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
552,Flores,GT,88.52,broken clouds,16.9226,-89.8994,Quinta Maya Hotel
556,Veraval,IN,78.73,clear sky,20.9,70.3667,Lords Inn Somnath
